id,notes,creation
1,stimulus duration set to 10,1645444843
2,5000ms simulation / 1000ms per trial,1645785359
3,100ms simulation,1645786640
4,100ms simulation && changed plot generation,1645786785
5,100ms simulation && changed plot generation,1645788264
6,,1646998414
7,,1647334072
8,,1647334204
9,,1647334424
10,,1647334460
11,,1647334883
12,,1647350932
13,,1647351328
14,,1647351361
15,,1647351662
16,,1647351792
17,,1647356057
18,,1647356101
19,,1647356141
20,,1647420501
21,,1647420541
22,,1647420637
23,,1647420706
24,,1647420765
25,,1647420818
26,,1647420917
27,,1647428850
28,,1647429220
29,,1647429273
30,,1647431441
31,,1647442461
32,,1647442532
33,,1647442583
34,,1647442865
35,10ms simulation && should create and merge correct raster/voltage plots,1647445191
36,10ms simulation && should create and merge correct raster/voltage plots,1647445362
37,10msmulation plots without hist,1647445620
38,generate_spikes,1647448324
39,reset w_AMPA_ext2 excit and inhib values to what they were set to by Victor originally. I still dont know what brought me too change them in the past,1647449194
40,after resetting w_AMPA_ext2 excit and inhib value. now simulating with 1000 duration and 10000 max sim time,1647507336
41,,1647614908
42,,1647617661
43,,1647617717
44,,1647619599
45,,1647620077
46,,1647620097
47,,1647620542
48,,1647620593
49,generate_spikes,1647620748
50,generate_spikes,1647620791
51,generate_spikes,1647620946
52,,1647621951
53,,1647622020
54,,1647622271
55,,1647622311
56,,1647622445
57,,1647622730
58,,1647622860
59,,1647622951
60,,1648143875
61,,1648144178
62,,1648144400
63,firing rate extern=3,1648144732
64,firing rate extern=1,1648144999
65,firing rate extern=0.1,1648145105
66,firing rate extern=0.2,1648145362
67,firing rate extern=0.15,1648145565
68,firing rate extern=0.15,1648219182
69,firing rate extern=0.15,1648219283
70,firing rate extern=0.15,1648219920
71,,1648500210
72,,1648500395
73,,1648500591
74,,1648500645
75,,1648500674
76,,1648500724
77,,1648500931
78,,1648500995
79,,1648501529
80,,1648501823
81,,1648501984
82,,1648502062
83,,1648502317
84,,1648502359
85,,1648502931
86,,1648503092
87,,1648503547
88,,1648503610
89,,1648538742
90,,1648540846
91,,1648541018
92,,1648559504
93,,1648560587
94,,1648564977
95,,1648565524
96,,1648567006
97,,1648650576
98,,1648652518
99,,1648653379
100,,1648820825
101,,1648820872
102,,1648821018
103,,1648821146
104,,1648821607
105,firing rate extern=0.155 & set spikes rate to 0,1648821647
106,generate_spikes,1648821830
107,,1649324558
108,,1649324574
109,,1649325448
110,,1649325666
111,,1649325682
112,,1649325957
113,,1649326034
114,,1649326262
115,,1650704251
116,,1650704364
117,,1650704798
118,,1650704817
119,,1650704878